date,eid,cid,rate
2022-04-05 13:00:00,1,BTC,46017.99
2022-04-05 13:00:00,2,BTC,46018.81
2022-04-05 13:00:00,3,BTC,46013.15
2022-04-05 13:00:00,4,BTC,46009.4
2022-04-05 13:00:00,5,BTC,46013
2022-04-05 13:00:00,1,ETH,3473.11
2022-04-05 13:00:00,2,ETH,3471.64
2022-04-05 13:00:00,3,ETH,3473.08
2022-04-05 13:00:00,4,ETH,3472.02
2022-04-05 13:00:00,5,ETH,3473.3
2022-04-05 13:00:00,1,LTC,125.2
2022-04-05 13:00:00,2,LTC,125.3
2022-04-05 13:00:00,3,LTC,125.2
2022-04-05 13:00:00,4,LTC,125.33
2022-04-05 13:00:00,5,LTC,125.25
2022-04-05 13:00:00,1,LUNA,116.12
2022-04-05 13:00:00,2,LUNA,116.04
2022-04-05 13:00:00,3,LUNA,116.2126
2022-04-05 13:00:00,4,LUNA,116.12
2022-04-05 13:00:00,5,LUNA,116.17
2022-04-05 13:00:00,1,ADA,1.193
2022-04-05 13:00:00,2,ADA,1.1924
2022-04-05 13:00:00,3,ADA,1.193173
2022-04-05 13:00:00,4,ADA,1.19314
2022-04-05 13:00:00,5,ADA,1.19258
2022-04-05 13:00:00,1,DOT,22.35
2022-04-05 13:00:00,2,DOT,22.37
2022-04-05 13:00:00,3,DOT,22.358
2022-04-05 13:00:00,4,DOT,22.3601
2022-04-05 13:00:00,5,DOT,22.36
2022-04-05 14:00:00,1,BTC,45927.09
2022-04-05 14:00:00,2,BTC,45929.63
2022-04-05 14:00:00,3,BTC,45926.28
2022-04-05 14:00:00,4,BTC,45950.1
2022-04-05 14:00:00,5,BTC,45921
2022-04-05 14:00:00,1,ETH,3451.17
2022-04-05 14:00:00,2,ETH,3451.91
2022-04-05 14:00:00,3,ETH,3451.11
2022-04-05 14:00:00,4,ETH,3451.61
2022-04-05 14:00:00,5,ETH,3451
2022-04-05 14:00:00,1,LTC,124.5
2022-04-05 14:00:00,2,LTC,124.46
2022-04-05 14:00:00,3,LTC,124.44
2022-04-05 14:00:00,4,LTC,124.5
2022-04-05 14:00:00,5,LTC,124.535
2022-04-05 14:00:00,1,LUNA,115.78
2022-04-05 14:00:00,2,LUNA,115.86
2022-04-05 14:00:00,3,LUNA,115.7824
2022-04-05 14:00:00,4,LUNA,115.77
2022-04-05 14:00:00,5,LUNA,115.67
2022-04-05 14:00:00,1,ADA,1.198
2022-04-05 14:00:00,2,ADA,1.1981
2022-04-05 14:00:00,3,ADA,1.19782
2022-04-05 14:00:00,4,ADA,1.198123
2022-04-05 14:00:00,5,ADA,1.19751
2022-04-05 14:00:00,1,DOT,22.3
2022-04-05 14:00:00,2,DOT,22.3
2022-04-05 14:00:00,3,DOT,22.3019
2022-04-05 14:00:00,4,DOT,22.3096
2022-04-05 14:00:00,5,DOT,22.311
2022-04-05 15:00:00,1,BTC,45742.25
2022-04-05 15:00:00,2,BTC,45767.4
2022-04-05 15:00:00,3,BTC,45739.69
2022-04-05 15:00:00,4,BTC,45774.6
2022-04-05 15:00:00,5,BTC,45738
2022-04-05 15:00:00,1,ETH,3430.33
2022-04-05 15:00:00,2,ETH,3431.94
2022-04-05 15:00:00,3,ETH,3429.97
2022-04-05 15:00:00,4,ETH,3433.3
2022-04-05 15:00:00,5,ETH,3430.2
2022-04-05 15:00:00,1,LTC,123.7
2022-04-05 15:00:00,2,LTC,123.63
2022-04-05 15:00:00,3,LTC,123.64
2022-04-05 15:00:00,4,LTC,123.66
2022-04-05 15:00:00,5,LTC,123.6
2022-04-05 15:00:00,1,LUNA,115.15
2022-04-05 15:00:00,2,LUNA,115.28
2022-04-05 15:00:00,3,LUNA,115.1468
2022-04-05 15:00:00,4,LUNA,115.26
2022-04-05 15:00:00,5,LUNA,115.12
2022-04-05 15:00:00,1,ADA,1.186
